Number,Question,Sections
1,"In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …","['Politics', 'Society and Culture']"
2,"In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …","['Politics', 'Society and Culture']"
3,"Deutschland ist ein Rechtsstaat. Was ist damit gemeint?","['Law and Rights']"
4,"Welches Recht gehört zu den Grundrechten in Deutschland?","['Law and Rights']"
5,"Wahlen in Deutschland sind frei. Was bedeutet das?","['Politics']"
6,"Wie heißt die deutsche Verfassung?","['Politics', 'Law and Rights']"
7,"Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …","['Law and Rights']"
8,"Was steht nicht im Grundgesetz von Deutschland?","['Law and Rights']"
9,"Welches Grundrecht gilt in Deutschland nur für Ausländerinnen/Ausländer? Das Grundrecht auf …","['Law and Rights']"
10,"Was ist mit dem deutschen Grundgesetz vereinbar?","['Law and Rights']"
11,"Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","['Politics', 'Law and Rights']"
12,"Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","['Politics', 'Law and Rights']"
13,"Im Parlament steht der Begriff 'Opposition' für …","['Politics']"
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich …","['Society and Culture']"
15,"Was verbietet das deutsche Grundgesetz?","['Law and Rights']"
16,"Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","['Law and Rights']"
17,"Die deutschen Gesetze verbieten …","['Law and Rights']"
18,"Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","['Law and Rights']"
19,"Was versteht man unter dem Recht der 'Freizügigkeit' in Deutschland?","['Law and Rights']"
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","['Politics', 'Law and Rights']"
21,"Welches ist das Wappen der Bundesrepublik Deutschland?","['Symbols and Identity']"
22,"Was für eine Staatsform hat Deutschland?","['Politics']"
23,"In Deutschland sind die meisten Erwerbstätigen …","['Economy']"
24,"Wie viele Bundesländer hat die Bundesrepublik Deutschland?","['Geography']"
25,"Was ist kein Bundesland der Bundesrepublik Deutschland?","['Geography']"
